Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,is-opensource,Order,Logo,One-Liner,Category,Official Website,Github,Questions,What is,Read More Content,Screenshots,Why its better on shakudo,Partner Status,Feature 1,Feature 2,Feature 3,Video,Page Link,Node Support,Ticker,categories,KB Overview,KB Getting Started and usage,KB Deployment Runbook,KB Troubleshooting and FAQ,Administration & Best Practices,KB Filter,Version
Activepieces,activepieces,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfb2e,false,false,Wed Jan 03 2024 14:53:25 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:23:21 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),true,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/6595749ed644eef0df19eac5_99494700.png,All-in-one enterprise automation tool,workflow-automation,https://www.activepieces.com/,https://github.com/activepieces/activepieces,,"Activepieces is a Zapier alternative user-friendly platform designed for teams looking to automate their workflows without the complexities of coding. It stands out for its intuitive drag-and-drop builder, seamless app integrations, and customizable templates, making it accessible even to those new to automation. Its ability to trigger actions across different applications, like sending notifications or managing contacts, enhances productivity. Additionally, its open-source nature allows for flexibility and control over data, aligning with various privacy and security policies. Activepieces offers a practical balance between functionality and ease of use, ideal for businesses seeking to improve operations without investing heavily in complex systems.",,,,false,,,,,,,,,,,,,,,
Aider,aider,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,678ff6c88d453adb0e0f5355,false,false,Tue Jan 21 2025 19:34:32 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:19:17 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),true,,https://cdn.prod.website-files.com/625447c67b621ab49bb7e3e5/67900027d1080da9b7e9d0ef_aider%20coding%20icon.png,AI pair programming terminal tool,ai-coding,https://aider.chat/,https://github.com/Aider-AI/aider,,"Aider is an AI-powered coding assistant that integrates with popular development environments, leveraging large language models to enhance programmer productivity. It offers real-time code suggestions, bug detection, and automated refactoring, significantly reducing development time and improving code quality. For example, a software company implementing Aider could see a 30% increase in feature delivery speed and a 40% reduction in post-release defects, leading to substantial cost savings and improved customer satisfaction.",,,"<p>Aider's AI pair programming capabilities are seamlessly integrated into Shakudo's infrastructure, allowing developers to leverage GPT-powered coding assistance directly within their existing development environment. The platform's kubernetes-native architecture ensures that Aider's terminal interface and git repository interactions work flawlessly while maintaining enterprise-grade security and version control.</p><p>Running Aider on Shakudo dramatically reduces deployment complexity and time-to-value, as teams can instantly start using AI pair programming without worrying about infrastructure setup, model hosting, or security configurations. Shakudo's expert-guided implementation ensures organizations can quickly scale from initial proof-of-concept to production-ready AI pair programming across their entire development team.</p><p>The flexibility of Shakudo's platform allows teams to easily switch between different language models for Aider, whether using GPT-3.5, GPT-4, or custom models, while maintaining consistent development workflows. This adaptability, combined with Shakudo's end-to-end infrastructure management, means development teams can focus purely on coding rather than DevOps overhead.</p>",false,,,,,,,,,,,,,,,
Airbyte,airbyte,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfabe,false,false,Tue Jan 10 2023 19:10:24 GMT+0000 (Coordinated Universal Time),Tue May 12 2026 05:40:22 GMT+0000 (Coordinated Universal Time),Tue May 12 2026 05:51:01 GMT+0000 (Coordinated Universal Time),true,1,https://cdn.prod.website-files.com/625447c67b621ab49bb7e3e5/65d59a019dcec77988b334a0_airbyte-logo.svg,Move data from one system to another,data-integration,https://airbyte.com/,https://github.com/airbytehq/airbyte,"<h2>Is Airbyte an ETL or ELT?</h2><p>Airbyte primarily follows the ELT (Extract, Load, Transform) paradigm.<br><br>This approach allows for greater flexibility and scalability compared to traditional ETL processes. By loading raw data first, Airbyte enables data teams to perform transformations within the target data warehouse, leveraging its computational power and SQL capabilities.</p><h2>What is Airbyte used for?</h2><p>Airbyte serves as a crucial component in modern data stacks, facilitating:<br><br>1. Data consolidation from disparate sources<br>2. Real-time data replication<br>3. Building data lakes and warehouses<br>4. Enabling data-driven decision making<br><br>For instance, a e-commerce company might use Airbyte to sync customer data from their CRM, transaction data from their payment processor, and inventory data from their ERP system into a central data warehouse for unified analytics.</p><h2>What is the difference between DBT and Airbyte?</h2><p>While both tools are essential in the modern data stack, they serve distinct purposes:<br><br>Airbyte focuses on the 'EL' part of ELT, extracting and loading raw data from various sources to destinations.<br><br>DBT, on the other hand, specializes in the 'T' - transformation. It works within your data warehouse to transform raw data into analytics-ready datasets.<br><br>In a typical workflow, Airbyte would first sync raw data to a warehouse, then DBT would transform that data into usable models for analysis.</p><h2>What are the downsides of Airbyte?</h2><p>Despite its strengths, Airbyte has some limitations:<br><br>1. The open-source version lacks advanced features like role-based access control.<br>2. Some users report performance issues with very large data volumes.<br>3. The community-driven nature of many connectors can lead to varying levels of reliability.<br>4. Complex transformations may require additional tools or custom coding.</p><h2>How does Shakudo integrate with Airbyte?</h2><p>Shakudo seamlessly incorporates Airbyte into its managed data platform. We handle the deployment, scaling, and maintenance of Airbyte, allowing your team to focus on data strategy rather than infrastructure.<br><br>Our integration ensures that Airbyte works harmoniously with other components of your data stack, providing a unified experience for data ingestion, transformation, and analysis. This approach exemplifies Shakudo's commitment to offering best-of-breed tools while abstracting away the operational complexities.</p>","Airbyte is an open-source data integration platform that allows businesses to connect and replicate data from various sources to their destination of choice. It supports multiple data sources and destinations, real-time data replication, and easy integration with other tools and platforms, including data warehouses, databases, SaaS applications, and cloud storage.",,,,false,,,,https://youtu.be/VGYvcoG1uSc,,,,data-integration; kb-article,"<h2>Overview</h2><p>Airbyte is an open-source data integration platform used to move data from SaaS tools, databases, APIs, and files into warehouses, lakes, and analytics platforms.</p><p>In a Shakudo environment, Airbyte usually sits at the ingestion layer. It brings data into storage or analytics systems such as object storage, Postgres, Snowflake, BigQuery, Superset, or downstream transformation pipelines.</p><p>This page is written for onboarding and deployment calls. It focuses on what customers need to understand, provide, validate, and troubleshoot in a real environment.</p><h3><strong>Where it fits in the stack</strong></h3><ul><li>Primary role: Airbyte provides a reusable platform capability rather than a one-off application.</li><li>Typical deployment model: Kubernetes + Helm, with customer-specific values and secrets.</li><li>Typical access model: private internal endpoint or customer-approved external route.</li><li>Typical support model: validate deployment health first, then validate user workflow and integrations.</li></ul><h3><strong>Is Airbyte an ETL or ELT?</strong></h3><p>Airbyte primarily follows the ELT (Extract, Load, Transform) paradigm.<br><br>This approach allows for greater flexibility and scalability compared to traditional ETL processes. By loading raw data first, Airbyte enables data teams to perform transformations within the target data warehouse, leveraging its computational power and SQL capabilities.</p><h3><strong>What is Airbyte used for?</strong></h3><p>Airbyte serves as a crucial component in modern data stacks, facilitating:<br><br>1. Data consolidation from disparate sources<br>2. Real-time data replication<br>3. Building data lakes and warehouses<br>4. Enabling data-driven decision making<br><br>For instance, a e-commerce company might use Airbyte to sync customer data from their CRM, transaction data from their payment processor, and inventory data from their ERP system into a central data warehouse for unified analytics.</p><h3><strong>What is the difference between DBT and Airbyte?</strong></h3><p>While both tools are essential in the modern data stack, they serve distinct purposes:<br><br>Airbyte focuses on the 'EL' part of ELT, extracting and loading raw data from various sources to destinations.<br><br>DBT, on the other hand, specializes in the 'T' - transformation. It works within your data warehouse to transform raw data into analytics-ready datasets.<br><br>In a typical workflow, Airbyte would first sync raw data to a warehouse, then DBT would transform that data into usable models for analysis.</p><h3><strong>What are the downsides of Airbyte?</strong></h3><p>Despite its strengths, Airbyte has some limitations:<br><br>1. The open-source version lacks advanced features like role-based access control.<br>2. Some users report performance issues with very large data volumes.<br>3. The community-driven nature of many connectors can lead to varying levels of reliability.<br>4. Complex transformations may require additional tools or custom coding.</p><h3><strong>How does Shakudo integrate with Airbyte?</strong></h3><p>Shakudo seamlessly incorporates Airbyte into its managed data platform. We handle the deployment, scaling, and maintenance of Airbyte, allowing your team to focus on data strategy rather than infrastructure.<br><br>Our integration ensures that Airbyte works harmoniously with other components of your data stack, providing a unified experience for data ingestion, transformation, and analysis. This approach exemplifies Shakudo's commitment to offering best-of-breed tools while abstracting away the operational complexities.</p><p>‍</p>","<h2>Getting Started</h2><p>Start with one safe workflow in Airbyte before enabling production usage. The goal is to prove connectivity, permissions, and operational ownership.</p><h3>What the customer needs to provide</h3><ul><li>source system credentials such as database user, API token, or SaaS OAuth access</li><li>destination credentials such as warehouse, object storage, or database access</li><li>sync schedule and expected data volume</li><li>network allow-listing between Airbyte workers and source/destination systems</li></ul><h3>First workflow</h3><ul><li>Open the Airbyte UI</li><li>Create a source connector such as Postgres, Salesforce, S3, or an API source</li><li>Create a destination such as Postgres, S3/MinIO, Snowflake, or BigQuery</li><li>Create a connection, choose tables/streams, and run the first sync</li><li>Check sync history and row counts before enabling a schedule</li></ul><p>‍</p>","<h2>Deployment Runbook</h2><p>&lt;aside&gt;📌 Command-first runbook for customer deployment calls. Replace placeholders before running. For production environments, run changes through the customer-approved change process.</p><p>&lt;/aside&gt;</p><h3>Step 1 — Confirm cluster access</h3><p>Run:</p><p><code>export KUBECONFIG=/path/to/customer-kubeconfig<br>export KUBE_CONTEXT=&lt;customer-context&gt;<br><br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" config current-context<br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" get nodes<br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" get namespace hyperplane-airbyte || kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" create namespace hyperplane-airbyte<br></code></p><h3>Step 2 — Clone the Shakudo chart</h3><p>Run:</p><p><code>git clone --depth=1 --branch &lt;release-branch&gt; &lt;https://github.com/devsentient/monorepo.git&gt; /tmp/monorepo<br>cd /tmp/monorepo/stack-components/airbyte/helm<br>helm dependency update .<br></code></p><h3>Step 3 — Create required secrets</h3><p>Run:</p><p><code>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" create secret generic airbyte-secrets -n hyperplane-airbyte --from-literal=DATABASE_PASSWORD='&lt;postgres-password&gt;' --from-literal=AIRBYTE_SECRET_PERSISTENCE='KUBERNETES_SECRETS'<br></code></p><h3>Step 4 — Prepare values.yaml</h3><p>Run:</p><p><code>cat &gt; /tmp/airbyte-values.yaml &lt;&lt;'EOF_VALUES'<br>global:<br> &nbsp;deploymentMode: oss<br><br>airbyte:<br> &nbsp;webapp:<br> &nbsp; &nbsp;enabled: true<br> &nbsp;worker:<br> &nbsp; &nbsp;resources:<br> &nbsp; &nbsp; &nbsp;requests:<br> &nbsp; &nbsp; &nbsp; &nbsp;cpu: 500m<br> &nbsp; &nbsp; &nbsp; &nbsp;memory: 1Gi<br> &nbsp; &nbsp; &nbsp;limits:<br> &nbsp; &nbsp; &nbsp; &nbsp;cpu: 2<br> &nbsp; &nbsp; &nbsp; &nbsp;memory: 4Gi<br><br>externalDatabase:<br> &nbsp;enabled: true<br> &nbsp;host: &lt;postgres-host&gt;<br> &nbsp;database: airbyte<br> &nbsp;user: airbyte<br><br>secrets:<br> &nbsp;existingSecret: airbyte-secrets<br><br>ingress:<br> &nbsp;enabled: true<br> &nbsp;host: airbyte.&lt;customer-domain&gt;<br>EOF_VALUES<br></code></p><h3>Step 5 — Deploy or upgrade</h3><p>Run:</p><p><code>helm --kubeconfig ""$KUBECONFIG"" --kube-context ""$KUBE_CONTEXT"" upgrade --install airbyte /tmp/monorepo/stack-components/airbyte/helm \\<br> &nbsp;--namespace hyperplane-airbyte \\<br> &nbsp;--create-namespace \\<br> &nbsp;--values /tmp/airbyte-values.yaml \\<br> &nbsp;--timeout 15m \\<br> &nbsp;--wait<br></code></p><h3>Step 6 — Validate Kubernetes resources</h3><p>Run:</p><p><code>helm --kubeconfig ""$KUBECONFIG"" --kube-context ""$KUBE_CONTEXT"" status airbyte -n hyperplane-airbyte<br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" get pods,svc,pvc,ingress,virtualservice -n hyperplane-airbyte<br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" get events -n hyperplane-airbyte --sort-by=.lastTimestamp | tail -n 60<br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" logs -n hyperplane-airbyte -l app.kubernetes.io/instance=airbyte --tail=100<br></code></p><h3>Step 7 — Smoke test the service</h3><p>Run:</p><p><code>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" port-forward -n hyperplane-airbyte svc/airbyte-webapp-svc 8000:80<br><br># In another terminal:<br>curl -I &lt;http://localhost:8000&gt;<br></code></p><h3>Rollback</h3><p>Run:</p><p><code>helm --kubeconfig ""$KUBECONFIG"" --kube-context ""$KUBE_CONTEXT"" history airbyte -n hyperplane-airbyte<br>helm --kubeconfig ""$KUBECONFIG"" --kube-context ""$KUBE_CONTEXT"" rollback airbyte &lt;REVISION&gt; -n hyperplane-airbyte<br>kubectl --kubeconfig ""$KUBECONFIG"" --context ""$KUBE_CONTEXT"" rollout status deployment/airbyte -n hyperplane-airbyte || true<br></code></p>","<h2>Troubleshooting &amp; FAQ</h2><p>Use this section during customer debugging calls. Format: Problem → What to check → Fix.</p><h3>Sync fails immediately</h3><ul><li>What to check: Check source credentials, network access, and whether the connector can reach the source host</li><li>Fix: Update the credential, allow-list the worker egress IP, then rerun the connection check</li></ul><h3>Sync is slow or times out</h3><ul><li>What to check: Check table size, connector logs, worker CPU/memory, and source-side rate limits</li><li>Fix: Reduce selected streams, increase worker resources, or move to incremental sync</li></ul><h3>Destination table has missing rows</h3><ul><li>What to check: Check sync mode, primary key, cursor field, and the latest job logs</li><li>Fix: Switch to incremental/deduped mode only when primary keys and cursors are correct</li></ul><h3>Connector upgrade breaks a connection</h3><ul><li>What to check: Check connector version, release notes, and saved connection config</li><li>Fix: Rollback connector version if available or re-save the source/destination config</li></ul><p>‍</p>","<h2><strong>Administration and Best Practices</strong></h2><p>Airbyte is most effective when connectors are organized, monitored, and configured with clear ownership. Since Shakudo manages the underlying infrastructure, your focus should be on building reliable data pipelines and ensuring the data arriving in your destinations is accurate and up to date.<br></p><h3><strong>Organize Connectors Clearly</strong></h3><p>Use descriptive names for your connectors, such as salesforce-prod or postgres-analytics, so team members can quickly understand their purpose. Add notes or descriptions to document what data is being synced and where it is being used.<br></p><h3><strong>Use Secure Credentials</strong></h3><p>Store API keys, database credentials, and tokens using Shakudo’s secret management capabilities. Use dedicated service accounts instead of personal credentials and update them periodically according to your organization’s security policies.<br></p><h3><strong>Choose the Right Sync Frequency</strong><br></h3><p>Set schedules based on how often your source data changes.</p><ul><li>Real-time operational data: every 15–30 minutes</li><li>Databases and application data: hourly</li><li>Reporting data: daily</li></ul><p>Avoid running syncs more frequently than necessary, as this can increase API usage and processing time.</p><h3><strong>Prefer Incremental Syncs</strong><br></h3><p>Whenever supported, use incremental syncs rather than full refreshes. This reduces runtime, minimizes load on source systems, and improves reliability for large datasets.</p><h3><strong>Monitor Pipeline Health</strong><br></h3><p>Review sync history regularly to check for:</p><ul><li>Failed jobs</li><li>Authentication errors</li><li>Unexpected drops in record counts</li><li>Longer-than-usual runtimes</li></ul><p>Address recurring failures quickly to ensure downstream dashboards and AI applications continue to receive fresh data.</p><h3><strong>Review Schema Changes</strong><br></h3><p>When new fields or tables appear in your source systems, review them before enabling synchronization. This helps prevent unexpected changes in downstream reports and analytics pipelines.</p><h3><strong>Document Ownership</strong></h3><p>Each production connector should have a clearly defined owner who is responsible for monitoring its health and validating the data being delivered.</p><p>‍</p>",KB Article,1.5.1
Amazon EventBridge,amazon-eventbridge,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfab5,false,false,Tue Jan 10 2023 19:54:05 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:27:39 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),false,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/63bdc24d00b2cf4eaef87b61_aws-eventbridge-logo.svg,Serverless service that uses events to connect application components,data-streaming,https://aws.amazon.com/eventbridge/,,,"Amazon EventBridge is a serverless event bus service that makes it easy to connect applications together using data from your own applications, SaaS applications, and AWS services. It allows you to create rules that automatically route events from sources to targets, such as AWS Lambda functions, Amazon SQS queues, and built-in targets. EventBridge makes it easy to process and analyze large volumes of data in real-time and enables you to build event-driven applications and microservices.",,,,false,,,,,,,,data-streaming,,,,,,,
Amazon QuickSight,amazon-quicksight,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfae1,false,false,Fri Apr 21 2023 16:24:12 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:26:02 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),false,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/6442b861306689a8e4b4ebc5_amazon-quicksight-logo-svg-vector.svg,Visualize and understand your data with ease,business-intelligence,https://aws.amazon.com/quicksight/,,,"Amazon QuickSight is a cloud-powered business intelligence platform that enables you to create interactive visualizations, reports, and dashboards from a variety of data sources. Are you tired of spending hours sifting through data to make informed decisions? QuickSight's intuitive and user-friendly interface empowers users of all skill levels to quickly gain insights and make data-driven decisions. With pay-as-you-go pricing and seamless integration with other AWS services, QuickSight provides a cost-effective solution to meet your business intelligence needs. Try QuickSight on Shakudo today.",,,,false,,,,,,,,business-intelligence,,,,,,,
Amazon Redshift,amazon-redshift,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfab3,false,false,Tue Jan 10 2023 19:39:44 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:27:46 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),false,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/6511e6855e26e61247127ecb_63bdba82fbba1214de98c30d_1862px-Amazon-Redshift-Logo.svg%255B1%255D.png,Transform your data insights with parallel task execution,data-warehouse,https://aws.amazon.com/redshift/,,,"AWS Redshift is a fully-managed, cloud-based data warehouse service provided by Amazon Web Services (AWS). It allows businesses to easily store and analyze large amounts of data. Redshift is optimized for running tasks in parallel, which makes it well-suited for non-time-sensitive analysis-type workloads. With Redshift, businesses can quickly gain insights from their data and make data-driven decisions.",,,,false,,,,,,,,data-warehouse,,,,,,,
Amazon S3,amazon-s3,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfa92,false,false,Thu Aug 18 2022 19:50:14 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:30:24 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),false,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/62fe97e220d67d492d1bcc09_logo-amazons3.svg,Cloud storage service from Amazon Web Services,data-storage,https://aws.amazon.com/s3/,https://github.com/aws/aws-sdk-java,,"Amazon S3 (Simple Storage Service) is a cloud storage service from Amazon Web Services that allows organizations to store and retrieve large amounts of data from anywhere on the internet. It is highly scalable, secure, and reliable, making it a popular choice for storing data for various applications such as backup, data analysis, and cloud storage. With Amazon S3, organizations can easily store and access large amounts of data in the cloud.",speedgauge-innovates-fleet-management-with-advanced-data-handling-solutions,,,false,,,,,,,,data-storage,,,,,,,
Amundsen,amundsen,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfae4,false,false,Fri Apr 21 2023 16:35:32 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:25:54 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),true,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/6511e684d06f50d407f02030_6442ba90e63e6974958cfc44_default_f7df32c09fd9d8abcc75467c79d3965f2c43ec6f.png,Open source data discovery and metadata engine,data-catalog,https://www.amundsen.io/,https://github.com/amundsen-io/amundsen,,"Amundsen is an open-source metadata service provided by Lyft. Are you tired of spending hours trying to find the right data to use in your projects? Amundsen solves this problem by providing a centralized and searchable catalog of all your organization's data assets. With Amundsen, you can easily find, understand, and use the data you need to make informed business decisions. Plus, Amundsen integrates with popular data tools such as Jupyter Notebook and Tableau, making it easy to incorporate data into your workflow.",,,,false,,,,,,,,data-catalog,,,,,,,
Apache Airflow,apache-airflow,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfac5,false,false,Thu Dec 22 2022 16:26:57 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:30:02 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),true,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/65d24eed8a6e2bcbced6c94d_Vector-4.svg,Batch-oriented workflows platform,pipeline-orchestration,https://airflow.apache.org/,https://github.com/apache/airflow,,"Apache Airflow is an open-source platform to programmatically author, schedule, and monitor workflows. It is designed to be dynamic, extensible, and scalable, allowing users to easily define and orchestrate complex workflows as directed acyclic graphs (DAGs) of tasks. Airflow is often used in data engineering and machine learning pipelines, and has a large and active community of developers and users.",,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/6511e685dc849173cd6c7b84_63a4c45ba918631cf1e4be9a_Frame%2520302.jpeg; https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/6511e685dc849173cd6c7b80_63a4ccf0799105693ea38878_Frame%2520303%2520(1).jpeg,"<h3 id="""">Instant scalability</h3><p id="""">Shakudo Platform serves Apache Airflow on Kubernetes. Data engineers and developers can unlock increased stability and autoscaling capabilities of a Kubernetes cluster without taking time to setup.</p><h3 id="""">Maintenance free</h3><p id="""">Every tool your team use on top of the Shakudo platform is connected to be compatible with each other.</p><h3 id="""">End-to-end</h3><p id="""">You can develop code in Python push it to your git repository and set up your Directed Acryclic Graph (DAGs)</p>",false,,,,,,,,pipeline-orchestration,,,,,,,
Apache Doris,apache-doris,65d8f013a7ae761a66cdf762,65d8f013a7ae761a66cdf68c,65d8f013a7ae761a66cdfb05,false,false,Sat Sep 02 2023 15:45:47 GMT+0000 (Coordinated Universal Time),Thu Apr 10 2025 21:23:21 GMT+0000 (Coordinated Universal Time),Wed Apr 23 2025 15:25:02 GMT+0000 (Coordinated Universal Time),true,,https://uploads-ssl.webflow.com/625447c67b621ab49bb7e3e5/64f357d82ded908796214466_63a3188333965569ef0ea2fb_apachedoris.svg,Open-source real-time data warehouse based on MPP architecture,data-warehouse,https://doris.apache.org/,https://github.com/apache/doris,,"Apache Doris is an open-source, SQL-based MPP analytical data warehouse. Originating from Baidu and previously known as Palo, it is designed to support online analytical processing (OLAP) workloads. Doris combines elements from Google Mesa and Apache Impala. It offers a simple architecture, ensuring high availability, reliability, fault tolerance, and scalability. With features like columnar storage, vectorization, and ANSI SQL, Doris can handle multidimensional reporting, ad-hoc queries, and real-time dashboards. Integration is made easy with connectors for various big data ecosystems.",,,,false,,,,,,,,data-warehouse,,,,,,,
